,loan_amnt,loan_status,person_income
118,4950,1,13200
119,25000,0,220000
120,21000,0,216000
121,25000,0,216000
122,20000,0,216000
123,35000,0,215000
124,12000,0,215000
125,25000,1,52000
126,25000,1,46000
127,25000,1,53000
128,25000,1,47000
129,25000,1,47000
130,1400,0,13200
131,4500,1,13200
132,16000,0,210000
133,22000,0,210000
134,25000,1,48000
135,25000,1,55000
136,25000,1,55000
137,25000,1,55164
138,25000,1,56000
139,20000,0,203500
140,22000,1,190000
141,7750,1,13920
142,25000,1,60000
143,25000,1,60000
144,25000,1,54000
145,12000,0,200000
146,12000,0,200000
147,16000,0,200000
148,25000,1,54000
149,25000,1,60000
150,25000,1,60000
151,25000,1,60000
152,25000,1,61959
153,25000,1,56400
154,25000,0,200000
155,24000,0,200000
156,15000,0,200000
157,15500,0,200000
158,10000,0,200000
159,25000,1,66000
160,25000,1,66000
161,9000,0,200000
162,18000,0,200000
163,12000,0,200000
164,23050,0,200000
165,25000,1,66996
166,25000,1,67000
167,25000,1,67000
168,25000,1,68000
169,25000,1,69000
170,12000,0,200000
171,20000,1,188000
172,3000,0,200000
173,25000,1,69996
174,4000,1,14400
175,25000,1,70000
176,6000,1,14400
177,25000,1,56100
178,25000,1,66000
179,25000,1,66000
180,5375,1,14400
181,25000,1,72612
182,25000,1,74000
183,25000,1,75000
184,10000,0,191000
185,25000,1,75000
186,25000,1,71000
187,20000,0,190000
188,24000,0,189996
189,25000,1,78000
190,25000,1,78504
191,10000,0,186000
192,35000,0,185000
193,15000,0,185000
194,25000,1,62050
195,25000,1,79416
196,6250,1,14400
197,25000,1,79631
198,25000,1,79632
199,25000,1,80000
200,25000,1,80000
201,25000,0,185000
202,5000,0,185000
203,22000,0,184992
204,2500,0,184000
205,20000,1,172000
206,20000,0,183000
207,15000,0,182952
208,25000,1,74004
209,25000,1,81000
210,25000,1,81600
211,25000,0,82000
212,25000,0,83000
213,25000,0,83000
214,18000,0,180000
215,28000,0,180000
216,4000,1,14400
217,2100,0,14400
218,25000,0,84500
219,25000,0,85000
220,14000,0,180000
221,12000,0,180000
222,10000,1,142800
223,25000,0,87000
224,25000,1,75000
225,25000,1,76000
226,25000,1,66215
227,25000,0,90000
228,6200,1,15000
229,25000,0,180000
230,21000,0,180000
231,20000,0,180000
232,10000,0,180000
233,9950,0,180000
234,25000,1,78000
235,25000,1,66300
236,25000,0,90000
237,25000,1,79000
238,25000,0,91800
239,25000,0,92000
240,25000,0,92000
241,25000,0,93600
242,1750,0,15000
243,25000,1,70550
244,25000,1,83800
245,2600,0,175000
246,8000,0,175000
247,21000,0,175000
248,4000,1,15000
249,4600,1,15000
250,25000,1,88000
251,25000,1,74800
252,25000,1,88000
253,1750,0,15000
254,25000,1,88000
255,25000,0,100000
256,3600,1,15000
257,25000,0,102400
258,25000,1,92000
259,25000,1,93000
260,3500,0,175000
261,7200,0,175000
262,9000,0,174708
263,8800,0,174000
264,12000,0,174000
265,25000,1,162000
266,10000,0,173467
267,3175,1,15000
268,25000,1,96000
269,1500,0,15120
270,25000,1,97908
271,2800,1,15204
272,30000,1,159600
273,18000,0,171500
274,10000,0,170004
275,25000,1,158004
276,13000,0,170000
277,25000,0,110000
278,2500,1,15360
279,5000,1,134300
280,20000,0,170000
281,25000,1,100580
282,25000,0,113000
283,25000,0,120000
284,25000,0,120000
285,25000,0,120000
286,25000,1,91800
287,1000,0,15600
288,25000,1,108000
289,25000,0,129996
290,25000,0,130000
291,25000,0,130000
292,20000,0,170000
293,12000,0,170000
294,14000,0,169000
295,24250,0,168750
296,20000,0,168600
297,1800,0,168288
298,35000,0,168000
299,25000,0,133300
300,3300,1,15600
301,25000,0,134000
302,25000,0,134000
303,3200,1,15600
304,25000,0,135000
305,25000,0,135660
306,25000,0,145000
307,25000,0,150000
308,9600,0,165000
309,24000,1,153000
310,20000,0,165000
311,25000,0,165000
312,20000,0,165000
313,6000,1,16000
314,2275,0,16000
315,2000,0,16000
316,25000,1,148000
317,5600,1,16000
318,3625,1,16020
319,5500,1,16094
320,25000,0,175000
321,2000,0,16200
322,25000,0,185000
323,25000,0,162000
324,30000,0,161000
325,35000,0,160000
326,25000,0,225000
327,5000,1,16400
328,4375,1,16500
329,24750,1,49500
330,24750,1,60000
331,24500,0,84200
332,2000,0,16800
333,24500,0,92000
334,35000,0,160000
335,12000,0,160000
336,12000,0,160000
337,25000,0,160000
338,10000,1,125800
339,24250,1,54000
340,24250,1,62500
341,24250,1,68400
342,24250,1,56045
343,24250,1,74000
344,24250,1,65453
345,24250,0,89908
346,24250,1,78000
347,24250,0,100000
348,24250,0,103000
349,15000,0,160000
350,20000,0,160000
351,25000,0,160000
352,15250,0,160000
353,20000,0,160000
354,4750,1,16800
355,6000,1,16800
356,24250,0,115200
357,24250,0,144000
358,24250,0,287000
359,24150,1,108000
360,24000,1,43000
361,24000,1,47004
362,24000,1,48000
363,24000,1,44964
364,24000,1,52000
365,2250,0,17352
366,24000,1,47000
367,1000,0,17400
368,24000,1,49000
369,24000,1,60000
370,24000,1,60000
371,24000,1,60000
372,24000,1,60000
373,24000,1,62004
374,24000,1,62400
375,24000,1,59000
376,24000,1,60000
377,24000,1,66143
378,24000,1,62250
379,24000,1,70000
380,24000,1,74000
381,3000,1,18000
382,24000,1,75000
383,24000,1,75000
384,24000,1,69000
385,24000,1,78000
386,2000,0,18000
387,24000,0,80000
388,3500,1,18000
389,4000,1,18000
390,24000,1,74700
391,24000,0,88596
392,24000,0,95000
393,24000,1,83000
394,24000,0,95000
395,4900,1,18000
396,5000,1,18000
397,24000,0,100000
398,24000,0,110000
399,6250,1,18000
400,24000,1,103872
401,24000,0,120000
402,24000,0,120000
403,24000,1,108000
404,24000,0,124080
405,2500,1,18000
406,24000,0,130000
407,24000,0,135000
408,24000,0,135000
409,24000,1,114750
410,24000,0,150000
411,24000,1,138000
412,13000,1,18000
413,6250,1,18000
414,24000,0,155000
415,24000,1,148000
416,2500,0,18000
417,23750,0,120000
418,23600,1,54996
419,10000,1,18000
420,23600,0,102000
421,23575,1,75000
422,5400,1,18000
423,23400,1,66960
424,23000,1,60000
425,1200,0,18000
426,23000,1,63208
427,23000,1,65000
428,23000,1,68000
429,3000,1,18000
430,23000,1,88000
431,22750,1,58600
432,22500,1,70000
433,3000,1,18287
434,22500,1,69846
435,22400,1,73000
436,5000,1,18500
437,22250,1,35000
438,22000,1,43000
439,22000,1,52000
440,4200,1,18701
441,22000,1,57000
442,22000,1,58000
443,22000,1,60000
444,22000,1,60000
445,3000,1,18840
446,22000,1,56000
447,22000,1,70000
448,22000,0,74064
449,22000,0,76597
450,3625,1,19000
451,22000,0,77000
452,6000,1,19000
453,22000,0,82600
454,7400,1,19000
455,4000,1,19000
456,22000,0,84000
457,22000,1,77650
458,22000,1,82000
459,3500,1,19012
460,22000,0,99996
461,4950,1,19200
462,21700,1,57000
463,21600,1,54000
464,21600,1,56000
465,21600,1,63000
466,21600,0,82000
467,21600,1,78000
468,2400,0,19200
469,21600,0,112140
470,7000,1,19200
471,3000,1,19200
472,21500,1,59000
473,21500,1,70000
474,21500,0,116000
475,21450,1,60000
476,21250,1,31000
477,21250,1,47052
478,21250,1,51060
479,5000,1,19200
480,21250,1,53000
481,21250,1,56000
482,21250,1,65000
483,21000,1,35000
484,1400,1,19200
485,21000,1,40000
486,21000,1,42000
487,21000,1,63000
488,4000,1,19200
489,21000,1,59000
490,21000,0,70500
491,21000,1,65219
492,21000,0,75000
493,5000,1,19200
494,21000,1,62047
495,21000,0,79000
496,21000,0,80000
497,21000,0,84000
498,21000,0,85000
499,21000,0,93000
500,21000,1,81000
501,21000,0,97000
502,21000,1,100000
503,7500,1,19200
504,6250,1,19253
505,21000,0,125000
506,21000,0,125000
507,20900,0,82000
508,15000,1,19500
509,20500,1,50000
510,20500,0,70000
511,2100,0,19800
512,20375,1,54000
513,20050,1,26000
514,20000,1,33000
515,5000,0,20000
516,9250,0,20000
517,20000,1,35364
518,20000,1,38000
519,20000,1,32000
520,20000,1,38004
521,6400,0,20000
522,20000,1,38556
523,20000,1,32900
524,20000,1,34000
525,20000,1,40000
526,4800,0,20000
527,20000,1,42000
528,20000,1,42224
529,5650,0,20000
530,20000,1,37212
531,20000,1,38000
532,20000,1,45000
533,20000,1,45000
534,1200,0,20000
535,20000,1,45000
536,20000,1,39000
537,20000,1,46500
538,20000,1,48000
539,20000,1,42000
540,20000,1,48500
541,7500,0,20000
542,20000,1,49400
543,4000,0,20000
544,20000,1,50000
545,20000,1,50000
546,20000,1,50000
547,5000,0,20000
548,20000,1,44000
549,20000,1,50950
550,20000,1,51000
551,20000,1,51000
552,20000,1,51000
553,20000,1,51500
554,20000,1,51996
555,20000,1,52000
556,20000,1,46000
557,1500,0,20000
558,20000,1,52000
559,20000,1,46000
560,20000,1,47000
561,20000,1,54000
562,20000,1,48000
563,20000,1,48000
564,20000,1,54000
565,20000,1,48912
566,20000,1,54996
567,20000,1,55000
568,20000,1,55000
569,20000,1,49000
570,20000,1,55000
571,16600,0,20000
572,20000,1,55000
573,7125,0,20004
574,20000,1,57000
575,20000,1,51012
576,2500,0,20004
577,20000,1,58000
578,20000,1,58800
579,20000,1,59000
580,20000,1,53000
581,20000,1,60000
582,20000,1,54000
583,7000,0,20280
584,20000,1,60000
585,7750,0,20352
586,20000,1,54000
587,20000,1,54000
588,20000,1,54000
589,20000,1,60000
590,6000,0,20400
591,5500,0,20400
592,20000,1,54000
593,20000,1,54000
594,20000,1,60000
595,1275,0,20400
596,20000,1,54000
597,20000,1,60000
598,2400,0,20400
599,20000,1,60000
600,20000,1,60000
601,20000,1,54504
602,20000,1,55000
603,20000,1,61000
604,20000,1,62000
605,20000,1,56000
606,20000,1,56000
607,20000,1,62400
608,20000,1,62400
609,20000,1,63000
610,20000,1,58000
611,20000,1,65000
612,5000,0,20800
613,20000,1,65000
614,20000,1,65000
615,10000,0,20856
616,5375,0,20868
617,20000,1,59000
618,3500,1,21000
619,20000,1,65004
620,20000,1,59004
621,20000,1,59004
622,20000,1,65500
623,20000,0,66996
624,20000,0,67000
625,20000,0,67000
626,20000,0,68000
627,20000,0,68000
628,20000,1,62400
629,20000,0,69500
630,20000,0,70000
631,20000,0,70000
632,20000,0,71004
633,3000,0,21000
634,20000,0,71004
635,20000,1,55392
636,20000,0,72000
637,6000,0,21000
638,20000,1,66000
639,20000,1,66000
640,20000,0,72000
641,20000,0,74000
642,1625,1,21120
643,8500,0,21221
644,20000,0,75000
645,20000,0,75000
646,20000,0,75000
647,20000,1,69000
648,5200,0,21600
649,20000,1,69000
650,20000,0,75600
651,20000,1,59497
652,20000,0,76000
653,20000,1,70000
654,20000,1,70000
655,20000,0,77004
656,20000,1,71004
657,7125,0,21600
658,4025,0,21600
659,8000,0,21600
660,20000,0,78000
661,4000,0,21600
662,4200,0,21600
663,20000,1,61200
664,3800,0,21600
665,20000,0,78000
666,20000,0,78500
667,20000,0,79000
668,20000,0,80000
669,6000,0,21600
670,20000,1,62900
671,20000,0,80000
672,20000,0,80000
673,2000,0,21600
674,20000,0,80000
675,8500,0,21600
676,20000,1,62900
677,1000,0,21600
678,20000,1,74004
679,20000,0,80004
680,20000,0,80700
681,20000,0,81000
682,2000,1,21600
683,20000,1,76042
684,20000,1,76654
685,20000,0,83500
686,3000,0,21600
687,20000,0,84000
688,20000,0,84000
689,4400,0,21600
690,10000,0,21600
691,20000,1,78996
692,20000,0,85000
693,20000,0,85000
694,20000,1,73000
695,1500,0,21816
696,9000,0,21840
697,20000,0,87000
698,6000,0,21996
699,20000,1,78000
700,20000,0,90000
701,20000,0,90000
702,20000,0,90000
703,7000,0,22000
704,20000,0,90000
705,20000,0,91229
706,3825,0,22000
707,20000,0,92000
708,5875,1,22000
709,20000,0,92407
710,2400,0,22000
711,8000,0,22000
712,20000,0,93492
713,1550,1,22000
714,20000,0,95000
715,7350,0,22000
716,20000,0,96000
717,7200,0,22000
718,20000,1,85200
719,20000,0,98000
720,3000,0,22000
721,20000,0,99000
722,4000,0,22000
723,8500,0,22000
724,20000,0,99996
725,20000,1,87996
726,7500,0,22000
727,20000,0,100000
728,20000,0,100000
729,20000,1,74800
730,20000,1,74800
731,20000,0,100000
732,6400,0,22260
733,5400,0,22296
734,20000,0,104000
735,20000,1,93000
736,20000,1,95000
737,20000,0,110000
738,20000,0,110000
739,20000,0,110000
740,20000,0,110000
741,2000,0,22800
742,7125,1,22800
743,3000,1,22800
744,20000,1,85000
745,4800,0,22800
746,8300,1,22800
747,20000,0,120000
748,4750,0,22800
749,20000,0,121000
750,20000,0,125000
751,3000,0,22800
752,20000,0,130000
753,20000,0,130000
754,6000,0,22884
755,20000,0,133000
756,10625,0,23000
757,7000,0,23000
758,20000,0,140000
759,20000,1,138000
760,3600,1,23000
761,20000,1,148000
762,20000,0,160000
763,4800,0,23000
764,20000,0,160000
765,20000,0,168000
766,20000,0,172500
767,3000,0,23000
768,20000,0,175000
769,4400,0,23000
770,19900,1,58000
771,19800,0,116000
772,500,0,19500
773,700,0,19000
774,7000,0,23000
775,750,0,19000
776,1000,1,10000
777,1000,1,10000
778,1000,1,10140
779,2400,0,23000
780,2400,0,23000
781,1000,1,10500
782,1000,0,11220
783,1000,0,11760
784,1000,0,11820
785,1000,0,12000
786,1000,0,12000
787,1000,1,12000
788,1000,1,12240
789,1000,1,13728
790,1000,1,14400
791,2000,0,23040
792,1000,1,14400
793,15000,0,23040
794,1000,1,15000
795,1000,1,16000
796,1000,0,16800
797,1000,0,16800
798,1000,0,19200
799,19000,1,39600
800,19000,1,39900
801,19000,1,47000
802,19000,1,50000
803,7000,0,23500
804,19000,1,47500
805,19000,1,54586
806,19000,1,62004
807,19000,0,70000
808,19000,0,72000
809,19000,0,73000
810,19000,0,78000
811,6000,1,23920
812,2500,0,23964
813,19000,0,96000
814,19000,0,105000
815,19000,0,175000
816,18800,1,55000
817,18750,0,70000
818,18725,1,36500
819,18550,1,43000
820,7100,0,24000
821,18500,1,34300
822,18500,1,36000
823,18500,1,38000
824,18500,1,55784
825,18500,0,74196
826,18500,0,75000
827,18500,1,73000
828,8000,0,24000
829,3000,0,24000
830,18500,1,78000
831,18500,0,145000
832,5000,0,24000
833,18400,1,48888
834,18400,1,50000
835,18400,0,120000
836,5000,1,24000
837,6000,0,24000
838,18250,1,34000
839,18250,1,35004
840,18250,1,34500
841,18250,1,42504
842,1300,0,24000
843,18250,1,36996
844,18250,1,45600
845,5800,0,24000
846,18250,1,46000
847,18250,1,46000
848,18250,1,55044
849,18250,1,49200
850,18250,1,50000
851,18225,1,50000
852,18225,1,44000
853,18200,1,36000
854,18200,1,36400
855,18200,1,36000
856,18200,1,55000
857,18000,1,27000
858,8000,0,24000
859,18000,1,33000
860,18000,1,36000
861,18000,1,30720
862,18000,1,39996
863,18000,1,40000
864,5000,0,24000
865,18000,1,42000
866,8000,0,24000
867,2400,0,24000
868,18000,1,42765
869,18000,1,43000
870,18000,1,44000
871,18000,1,44000
872,18000,1,39000
873,18000,1,46800
874,18000,1,42000
875,4200,0,24000
876,18000,1,43400
877,18000,1,50000
878,18000,1,50000
879,5000,1,24000
880,4200,0,24000
881,18000,1,50000
882,18000,1,50000
883,2500,0,24000
884,6000,0,24000
885,18000,1,52000
886,18000,1,52000
887,18000,1,52526
888,18000,1,46610
889,18000,1,48000
890,8000,0,24000
891,18000,1,55000
892,18000,1,55344
893,1375,1,24000
894,18000,1,56000
895,18000,1,50000
896,18000,1,52240
897,18000,1,53000
898,18000,0,60000
899,18000,0,60000
900,18000,0,61500
901,5000,1,24000
902,18000,0,62000
903,5600,0,24000
904,10000,0,24000
905,18000,0,63000
906,18000,0,63000
907,18000,0,63000
908,18000,0,65000
909,18000,1,59000
910,18000,1,59000
911,18000,1,60000
912,18000,0,66000
913,18000,0,68000
914,18000,0,70000
915,18000,1,54400
916,18000,0,70200
917,18000,1,65000
918,18000,0,71820
919,18000,1,66000
920,18000,0,72000
921,3000,0,24000
922,1200,0,24000
923,18000,0,75000
924,3500,1,24000
925,18000,0,75576
926,7000,0,24000
927,18000,0,78000
928,18000,0,80000
929,18000,0,80000
930,18000,0,80000
931,18000,0,80171
932,18000,0,81000
933,2800,1,24000
934,18000,1,76500
935,8500,0,24000
936,2100,0,24000
937,18000,0,82570
938,6000,0,24000
939,18000,0,84000
940,2500,0,24000
941,18000,0,85000
942,18000,0,86000
943,18000,0,87000
944,18000,0,88000
945,18000,0,90000
946,18000,0,95000
947,18000,0,95000
948,18000,0,102000
949,18000,0,110000
950,18000,1,87550
951,18000,0,116004
952,18000,0,121000
953,18000,0,125000
954,5000,0,24000
955,18000,0,144500
956,18000,0,155000
957,5000,0,24000
958,17950,0,75000
959,7000,0,24000
960,17800,1,62050
961,1500,0,24000
962,17750,1,48000
963,17700,0,65000
964,8000,0,24000
965,8000,0,24000
966,3975,0,24000
967,17625,1,45000
968,17600,0,59256
969,17600,0,65500
970,17600,0,70000
971,5000,0,24000
972,3500,0,24091
973,17600,1,72250
974,17500,1,32400
975,17500,1,36000
976,17500,1,37232
977,4500,0,24300
978,4000,0,24396
979,17500,1,40800
980,1800,0,24449
981,5000,0,24468
982,17500,1,44000
983,17500,1,47500
984,17500,1,49176
985,17500,1,49270
986,17500,1,53352
987,17500,1,54996
988,17500,0,58000
989,17500,0,59000
990,17500,0,60000
991,17500,0,75000
992,5500,1,24900
993,17500,0,95950
994,2000,0,24960
995,17475,1,40000
996,17475,1,45408
997,5000,0,24996
998,17475,0,58000
999,17400,0,82000
1000,17400,0,96000
1001,17400,0,133000
1002,17200,0,95000
1003,17000,1,35000
1004,17000,1,29400
1005,7000,0,24996
1006,17000,1,40000
1007,17000,1,41400
1008,17000,1,42000
1009,17000,1,43275
1010,17000,1,45792
1011,17000,1,47000
1012,17000,1,49896
1013,17000,1,50000
1014,8000,0,24996
1015,17000,1,51000
1016,17000,1,45000
1017,17000,1,52000
1018,6500,0,24996
1019,17000,1,52000
1020,17000,1,54660
1021,17000,0,55782
1022,17000,1,53000
1023,2400,0,25000
1024,17000,0,60000
1025,17000,0,60000
1026,4000,0,25000
1027,17000,0,62000
1028,17000,0,65000
1029,17000,0,70000
1030,17000,0,72000
1031,17000,0,75000
1032,17000,0,75000
1033,17000,0,78000
1034,3600,0,25000
1035,17000,0,85500
1036,17000,0,89004
1037,17000,1,66300
1038,17000,0,90000
1039,17000,0,95000
1040,17000,0,96000
1041,17000,0,114000
1042,17000,0,175000
1043,16950,1,49000
1044,16875,0,72000
1045,7000,0,25000
1046,7200,0,25000
1047,16800,1,34819
1048,16800,1,50000
1049,1800,0,25000
1050,16800,0,60000
1051,16800,0,60000
1052,16800,0,60000
1053,16800,1,54000
1054,3000,1,25000
1055,16800,0,66000
1056,16800,1,58650
1057,16800,1,74000
1058,16800,0,97000
1059,16800,0,97000
1060,16800,0,103000
1061,16800,0,125000
1062,2000,0,25000
1063,16750,1,36000
1064,16750,1,44500
1065,16750,1,45000
1066,16750,1,46272
1067,4000,0,25000
1068,16750,1,42000
1069,16750,1,50496
1070,16750,1,54000
1071,16700,0,54996
1072,16600,1,59160
1073,16525,0,70000
1074,16525,0,98400
1075,16500,1,40428
1076,16500,1,47000
1077,16500,1,48000
1078,1500,0,25000
1079,16500,1,56000
1080,16500,1,57504
1081,9000,0,25000
1082,11500,0,25000
1083,3000,0,25000
1084,16500,1,83300
1085,16425,1,45000
1086,16400,0,61000
1087,16250,1,47000
1088,1000,0,25000
1089,16075,0,54000
1090,16050,1,39000
1091,16000,1,30000
1092,16000,1,33000
1093,16000,1,35000
1094,6250,1,25000
1095,16000,1,35000
1096,4750,0,25000
1097,16000,1,36900
1098,16000,1,38000
1099,16000,1,39000
1100,16000,1,39996
1101,6000,0,25000
1102,4800,0,25000
1103,16000,1,40000
1104,16000,1,40000
1105,16000,1,40000
1106,16000,1,40000
1107,16000,1,34000
1108,16000,1,41900
1109,16000,1,42494
1110,5000,0,25000
1111,11100,0,25000
1112,16000,1,42856
1113,16000,1,43000
1114,1525,0,25000
1115,7000,0,25000
1116,16000,1,44000
1117,16000,1,44000
1118,12000,1,25000
1119,16000,1,38400
1120,10000,0,25000
1121,16000,1,39000
1122,16000,1,45000
1123,8800,0,25000
1124,16000,1,39000
1125,5000,0,25040
1126,4000,0,25062
1127,10800,0,25100
1128,5400,0,25104
1129,16000,1,39000
1130,16000,1,39000
1131,7000,0,25200
1132,16000,1,48000
1133,16000,1,42000
1134,16000,1,50000
1135,3200,0,25200
1136,1200,0,25200
1137,16000,1,50000
1138,1200,0,25200
1139,16000,1,50000
1140,16000,1,44000
1141,16000,1,51000
1142,16000,1,45000
1143,16000,1,52000
1144,16000,0,53000
1145,4000,1,25200
1146,16000,0,55000
1147,6500,1,25200
1148,7000,0,25200
1149,16000,1,52000
1150,1000,0,25200
1151,1000,1,25200
1152,16000,1,52500
1153,16000,0,60000
1154,16000,1,54000
1155,16000,1,54000
1156,4000,1,25344
1157,16000,0,62000
1158,5000,0,25480
1159,7850,0,25500
1160,7000,0,25500
1161,16000,1,57175
1162,5600,0,25500
1163,16000,1,57336
1164,12000,1,25568
1165,16000,0,64000
1166,16000,1,58575
1167,16000,0,64800
1168,16000,0,65000
1169,1500,0,25632
1170,16000,0,65000
1171,3500,0,25788
1172,16000,0,65000
1173,16000,1,59000
1174,16000,0,65000
1175,11325,0,25920
1176,16000,0,65000
1177,16000,1,59000
1178,16000,0,66000
1179,3000,0,25992
1180,16000,1,60996
1181,16000,1,62500
1182,16000,1,63000
1183,3825,0,26000
1184,16000,1,64000
1185,16000,0,72000
1186,16000,0,74000
1187,16000,0,74337
1188,16000,0,74999
1189,7000,0,26000
1190,7800,0,26000
1191,16000,0,75000
1192,5000,0,26000
1193,16000,1,69000
1194,1000,0,20000
1195,10000,0,26000
1196,2000,0,26000
1197,4000,0,26000
1198,6000,0,26000
1199,1000,0,23712
1200,1000,1,24000
1201,1000,1,24000
1202,1000,0,24000
1203,1000,0,24960
1204,1000,0,25000
1205,1000,1,25000
1206,8500,1,26000
1207,14500,1,26000
1208,7000,0,26000
1209,1000,1,28000
1210,1000,0,28000
1211,2000,0,26000
1212,1000,1,28000
1213,1000,0,28000
1214,1000,0,28600
1215,1000,0,29000
1216,17000,1,26000
1217,1000,0,29000
1218,1000,0,30000
1219,1000,0,30000
1220,1000,0,30000
1221,7000,0,26000
1222,500,0,26000
1223,1000,0,30000
1224,10000,0,26004
1225,5000,0,26004
1226,1000,0,30035
1227,6000,0,26004
1228,5000,0,26004
1229,1000,0,33000
1230,1000,0,33388
1231,12000,1,26004
1232,10000,0,26004
1233,1000,0,33600
1234,1000,0,33600
1235,1000,0,34000
1236,1000,0,34800
1237,1000,0,34800
1238,1000,0,35000
1239,1000,1,29000
1240,1000,0,35100
1241,1000,0,35100
1242,6000,0,26400
1243,1000,0,36000
1244,1000,0,36000
1245,1000,0,36000
1246,7500,0,26400
1247,1000,0,36000
1248,1000,1,31000
1249,1000,1,32000
1250,1000,0,38000
1251,1000,1,32000
1252,1000,0,38400
1253,1000,1,33600
1254,1000,0,39996
1255,1000,0,40000
1256,1000,0,40000
1257,1000,0,40000
1258,5975,0,26400
1259,1000,0,40000
1260,1000,0,40000
1261,1000,1,34500
1262,1000,0,40800
1263,1000,0,42000
1264,1000,0,42000
1265,1000,0,43000
1266,4000,0,26400
1267,1000,0,45000
1268,1000,0,45000
1269,1000,0,45000
1270,1000,1,40800
1271,1000,0,48000
1272,1000,1,42000
1273,1000,0,49000
1274,1000,0,50000
1275,8500,0,26400
1276,4400,0,26400
1277,1000,0,50400
1278,1000,0,51000
1279,1000,0,54000
1280,1000,0,56000
1281,1000,0,58000
1282,1000,0,64000
1283,4000,0,26400
1284,1000,0,69000
1285,1000,0,70399
1286,1000,0,72000
1287,7200,1,26453
1288,1000,0,75000
1289,1000,0,87000
1290,6000,1,26500
1291,1000,0,96000
1292,6000,0,26500
1293,1100,0,14400
1294,1100,0,35000
1295,1150,0,77000
1296,1200,0,9960
1297,1000,0,26650
1298,1200,0,11000
1299,2000,1,26784
1300,1200,0,13000
1301,1200,0,14400
1302,3000,0,26796
1303,1200,0,14400
1304,1200,0,14400
1305,1200,1,15600
1306,1200,0,16200
1307,1200,0,16800
1308,1200,0,18000
1309,9600,0,27000
1310,1200,1,20400
1311,5000,0,27000
1312,6400,0,27000
1313,1200,0,20400
1314,1200,0,21600
1315,4800,0,27000
1316,1000,1,27000
1317,1200,1,26400
1318,1200,0,27600
1319,1200,0,28000
1320,10800,0,27000
1321,1200,0,30000
1322,3000,0,27000
1323,7750,0,27000
1324,1200,0,30000
1325,1200,0,31200
1326,1200,0,31500
1327,1200,0,32400
1328,4000,0,27000
1329,6000,0,27000
1330,1200,0,33000
1331,1200,1,34000
1332,1200,0,34000
1333,1200,1,34560
1334,1200,1,29004
1335,3025,0,27000
1336,1200,0,36000
1337,1200,0,36000
1338,1200,0,36000
1339,1200,0,40000
1340,1200,1,34000
1341,1200,0,40000
1342,1200,0,43000
1343,1200,0,43200
1344,9475,0,27000
1345,1200,0,44664
1346,1200,1,39000
1347,1200,0,48000
1348,5000,0,27000
1349,1200,0,55000
1350,1200,0,58000
1351,1200,0,58700
1352,7500,0,27000
1353,1200,0,60000
1354,1200,0,100000
1355,1300,1,9600
1356,1300,0,41000
1357,1300,0,45000
1358,1300,0,50000
1359,1300,1,54000
